"id","sex","age","age_cat","race","juv_fel_count","decile_score","juv_misd_count","juv_other_count","priors_count","c_charge_degree","type_of_assessment","decile_score.1","score_text","two_year_recid"
1,0,69,"Greater than 45",6,0,1,0,0,0,1,"Risk of Recidivism",1,"Low",0
3,0,34,"25 - 45",2,0,3,0,0,0,1,"Risk of Recidivism",3,"Low",1
4,0,24,"Less than 25",2,0,4,0,1,4,1,"Risk of Recidivism",4,"Low",1
5,0,23,"Less than 25",2,0,8,1,0,1,1,"Risk of Recidivism",8,"High",0
6,0,43,"25 - 45",6,0,1,0,0,2,1,"Risk of Recidivism",1,"Low",0
7,0,44,"25 - 45",6,0,1,0,0,0,0,"Risk of Recidivism",1,"Low",0
8,0,41,"25 - 45",1,0,6,0,0,14,1,"Risk of Recidivism",6,"Medium",1
9,0,43,"25 - 45",6,0,4,0,0,3,1,"Risk of Recidivism",4,"Low",0
10,1,39,"25 - 45",1,0,1,0,0,0,0,"Risk of Recidivism",1,"Low",0
13,0,21,"Less than 25",1,0,3,0,0,1,1,"Risk of Recidivism",3,"Low",1
14,0,27,"25 - 45",1,0,4,0,0,0,1,"Risk of Recidivism",4,"Low",0
15,0,23,"Less than 25",2,0,6,0,0,3,0,"Risk of Recidivism",6,"Medium",1
16,1,37,"25 - 45",1,0,1,0,0,0,0,"Risk of Recidivism",1,"Low",0
18,0,41,"25 - 45",2,0,4,0,0,0,1,"Risk of Recidivism",4,"Low",0
19,1,47,"Greater than 45",1,0,1,0,0,1,1,"Risk of Recidivism",1,"Low",1
20,0,31,"25 - 45",2,0,3,0,0,7,1,"Risk of Recidivism",3,"Low",1
21,0,37,"25 - 45",3,0,1,0,0,0,0,"Risk of Recidivism",1,"Low",0
22,0,25,"25 - 45",2,0,10,0,0,3,1,"Risk of Recidivism",10,"High",0
23,0,31,"25 - 45",1,0,5,0,0,6,1,"Risk of Recidivism",5,"Medium",1
24,0,31,"25 - 45",1,0,3,0,0,5,1,"Risk of Recidivism",3,"Low",1
25,0,64,"Greater than 45",2,0,6,0,0,13,1,"Risk of Recidivism",6,"Medium",1
26,0,21,"Less than 25",2,0,9,0,0,1,1,"Risk of Recidivism",9,"High",1
27,0,27,"25 - 45",1,0,2,0,0,0,0,"Risk of Recidivism",2,"Low",1
28,1,21,"Less than 25",1,0,4,0,0,0,1,"Risk of Recidivism",4,"Low",0
30,0,24,"Less than 25",3,0,4,0,0,1,1,"Risk of Recidivism",4,"Low",1
32,0,43,"25 - 45",1,0,1,0,0,1,0,"Risk of Recidivism",1,"Low",0
33,0,32,"25 - 45",6,0,3,0,0,0,0,"Risk of Recidivism",3,"Low",0
37,0,27,"25 - 45",2,0,3,0,0,8,1,"Risk of Recidivism",3,"Low",1
38,1,36,"25 - 45",1,0,3,0,0,3,1,"Risk of Recidivism",3,"Low",0
39,0,26,"25 - 45",2,0,7,0,1,5,1,"Risk of Recidivism",7,"Medium",1
40,0,33,"25 - 45",2,0,10,0,0,0,1,"Risk of Recidivism",10,"High",1
41,0,30,"25 - 45",1,0,9,0,0,9,1,"Risk of Recidivism",9,"High",1
42,0,32,"25 - 45",2,0,8,0,0,4,1,"Risk of Recidivism",8,"High",1
45,0,55,"Greater than 45",1,0,1,0,0,0,1,"Risk of Recidivism",1,"Low",0
50,0,49,"Greater than 45",6,0,3,0,0,7,1,"Risk of Recidivism",3,"Low",1
51,0,26,"25 - 45",1,0,8,0,2,6,0,"Risk of Recidivism",8,"High",0
52,1,33,"25 - 45",1,0,5,0,0,4,0,"Risk of Recidivism",5,"Medium",1
53,0,24,"Less than 25",1,0,2,0,0,1,0,"Risk of Recidivism",2,"Low",1
54,0,34,"25 - 45",2,2,9,1,3,21,1,"Risk of Recidivism",9,"High",1
55,0,29,"25 - 45",1,0,2,0,0,0,0,"Risk of Recidivism",2,"Low",0
56,1,21,"Less than 25",2,0,8,0,0,2,1,"Risk of Recidivism",8,"High",0
57,0,51,"Greater than 45",2,0,1,0,0,2,0,"Risk of Recidivism",1,"Low",0
59,0,29,"25 - 45",1,0,2,0,0,2,0,"Risk of Recidivism",2,"Low",1
61,1,51,"Greater than 45",2,0,2,0,0,7,1,"Risk of Recidivism",2,"Low",0
64,0,29,"25 - 45",2,0,7,0,0,0,1,"Risk of Recidivism",7,"Medium",1
66,0,25,"25 - 45",1,0,10,0,0,9,0,"Risk of Recidivism",10,"High",1
67,0,35,"25 - 45",2,1,8,0,4,13,1,"Risk of Recidivism",8,"High",1
68,0,49,"Greater than 45",1,0,1,0,0,0,0,"Risk of Recidivism",1,"Low",0
69,0,34,"25 - 45",2,0,3,0,0,4,0,"Risk of Recidivism",3,"Low",1
70,0,29,"25 - 45",2,0,4,0,0,0,1,"Risk of Recidivism",4,"Low",0
71,0,29,"25 - 45",1,0,2,0,0,1,1,"Risk of Recidivism",2,"Low",1
72,1,28,"25 - 45",6,0,2,0,0,0,1,"Risk of Recidivism",2,"Low",0
75,0,48,"Greater than 45",1,0,6,0,0,20,1,"Risk of Recidivism",6,"Medium",1
77,1,63,"Greater than 45",3,0,1,0,0,1,1,"Risk of Recidivism",1,"Low",0
79,0,31,"25 - 45",2,0,5,0,1,15,1,"Risk of Recidivism",5,"Medium",0
80,0,24,"Less than 25",2,0,4,0,0,2,1,"Risk of Recidivism",4,"Low",1
83,0,30,"25 - 45",3,0,7,0,0,0,0,"Risk of Recidivism",7,"Medium",0
84,0,49,"Greater than 45",2,0,1,0,0,4,0,"Risk of Recidivism",1,"Low",0
85,0,53,"Greater than 45",1,0,5,0,0,8,1,"Risk of Recidivism",5,"Medium",0
87,0,35,"25 - 45",2,0,3,0,0,5,1,"Risk of Recidivism",3,"Low",0
88,0,63,"Greater than 45",2,0,7,0,0,10,0,"Risk of Recidivism",7,"Medium",1
90,0,27,"25 - 45",2,1,10,1,2,15,1,"Risk of Recidivism",10,"High",1
91,0,38,"25 - 45",1,0,2,0,0,4,0,"Risk of Recidivism",2,"Low",1
93,0,22,"Less than 25",2,0,4,0,1,1,1,"Risk of Recidivism",4,"Low",1
95,0,22,"Less than 25",2,0,10,1,2,2,1,"Risk of Recidivism",10,"High",1
96,0,29,"25 - 45",2,0,9,0,0,4,1,"Risk of Recidivism",9,"High",1
97,0,62,"Greater than 45",3,0,1,0,0,0,0,"Risk of Recidivism",1,"Low",0
98,0,27,"25 - 45",2,0,6,1,0,6,1,"Risk of Recidivism",6,"Medium",1
99,0,33,"25 - 45",6,0,1,0,0,0,0,"Risk of Recidivism",1,"Low",0
100,1,56,"Greater than 45",2,0,1,0,0,0,0,"Risk of Recidivism",1,"Low",0
101,0,45,"Greater than 45",3,0,1,0,0,6,1,"Risk of Recidivism",1,"Low",1
102,0,22,"Less than 25",3,0,4,0,0,1,1,"Risk of Recidivism",4,"Low",0
105,0,39,"25 - 45",2,0,4,0,0,1,0,"Risk of Recidivism",4,"Low",0
107,0,29,"25 - 45",2,0,6,0,0,5,1,"Risk of Recidivism",6,"Medium",1
108,0,27,"25 - 45",1,0,6,0,1,1,1,"Risk of Recidivism",6,"Medium",1
111,0,40,"25 - 45",2,0,2,0,0,2,1,"Risk of Recidivism",2,"Low",0
113,0,22,"Less than 25",2,0,3,0,0,1,0,"Risk of Recidivism",3,"Low",1
114,0,22,"Less than 25",1,0,8,0,0,0,1,"Risk of Recidivism",8,"High",0
115,1,26,"25 - 45",2,0,4,0,0,1,1,"Risk of Recidivism",4,"Low",1
116,0,27,"25 - 45",1,0,7,0,0,1,1,"Risk of Recidivism",7,"Medium",1
119,0,32,"25 - 45",2,0,2,0,0,0,1,"Risk of Recidivism",2,"Low",0
120,0,41,"25 - 45",2,0,2,0,0,1,0,"Risk of Recidivism",2,"Low",0
122,0,30,"25 - 45",2,0,10,0,0,8,0,"Risk of Recidivism",10,"High",1
127,0,50,"Greater than 45",6,0,1,0,0,0,1,"Risk of Recidivism",1,"Low",1
128,0,25,"25 - 45",2,1,10,6,1,14,1,"Risk of Recidivism",10,"High",1
130,0,20,"Less than 25",6,0,5,0,0,0,1,"Risk of Recidivism",5,"Medium",1
131,0,22,"Less than 25",2,1,9,0,0,2,1,"Risk of Recidivism",9,"High",1
132,0,23,"Less than 25",2,0,7,0,1,2,0,"Risk of Recidivism",7,"Medium",1
136,1,35,"25 - 45",2,0,2,0,0,1,0,"Risk of Recidivism",2,"Low",0
137,0,36,"25 - 45",2,0,7,0,0,9,1,"Risk of Recidivism",7,"Medium",1
138,0,26,"25 - 45",1,0,8,0,0,7,1,"Risk of Recidivism",8,"High",1
139,0,21,"Less than 25",6,0,6,0,0,1,1,"Risk of Recidivism",6,"Medium",1
142,0,25,"25 - 45",1,0,8,0,0,9,1,"Risk of Recidivism",8,"High",1
